set_name,set_number,card_number,name,sub_name,rarity,cost,inkwell,ink_color,strength,willpower,lore,classifications,img
Azurite Sea,6,5,Simba,Happy-Go-Lucky,Common,2,TRUE,Amber,1,4,1,"['Storyborn', 'Hero', 'Prince']",6-5-en-sp.webp
Azurite Sea,6,6,Chip,Friend Indeed,Common,3,TRUE,Amber,3,3,1,"['Storyborn', 'Hero']",6-6-en-sp.webp
Azurite Sea,6,7,Dale,Friend in Need,Common,3,TRUE,Amber,3,4,2,"['Storyborn', 'Hero']",6-7-en-sp.webp
Azurite Sea,6,10,Prince Naveen,Carefree Explorer,Common,2,TRUE,Amber,2,3,1,"['Storyborn', 'Hero', 'Prince']",6-10-en-sp.webp
Azurite Sea,6,11,Chief Bogo,Gazelle Fan,Common,4,TRUE,Amber,4,4,1,['Storyborn'],6-11-en-sp.webp
Azurite Sea,6,22,Rabbit,Indignant Pirate,Common,1,TRUE,Amber,1,2,1,"['Dreamborn', 'Ally', 'Pirate']",6-22-en-sp.webp
Azurite Sea,6,23,Roo,Littlest Pirate,Common,2,TRUE,Amber,1,2,1,"['Dreamborn', 'Ally', 'Pirate']",6-23-en-sp.webp
Azurite Sea,6,24,Mr. Litwak,Arcade Owner,Common,3,TRUE,Amber,2,3,1,['Storyborn'],6-24-en-sp.webp
Azurite Sea,6,26,Stitch,Little Trickster,Common,2,TRUE,Emerald,1,3,1,"['Storyborn', 'Hero', 'Alien']",6-26-en-sp.webp
Azurite Sea,6,27,Good Job!,,Common,1,TRUE,Amber,,,,[nan],6-27-en-sp.webp
Azurite Sea,6,28,I Won't Give In,,Common,2,TRUE,Amber,,,,[nan],6-28-en-sp.webp
Azurite Sea,6,31,Naveen's Ukulele,,Common,1,TRUE,Amber,,,,[nan],6-31-en-sp.webp
Azurite Sea,6,34,Hundred Acre Island,Pooh's Home,Common,1,TRUE,Amber,,5,0,[nan],6-34-en-sp.webp
Azurite Sea,6,38,Genie,Excited Shipbuilder,Common,3,TRUE,Amethyst,4,3,1,"['Storyborn', 'Ally']",6-38-en-sp.webp
